# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Tue Jul 24 07:38:22 2018
# Molecular abundance atmprofile: Earth at 4084 m, NASA/MERRA 2017/01/02
# Molecules considered: H2O,CO2,O3,O2
# Molecular sources: HIT[1],HIT[2],HIT[3],HIT[7]
# Molecular abundances: 50,1,1,1
# Molecular abundance units: ppm,scl,scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Frequency[GHz]
# Wave/freq Total H2O CO2 O3 O2
8.850000000e+02  0.83729  0.84875  1.00000  0.98906  0.99739
8.840000000e+02  0.83938  0.85052  1.00000  0.98952  0.99734
8.830000000e+02  0.75310  0.85200  1.00000  0.88629  0.99729
8.820000000e+02  0.83839  0.85392  1.00000  0.98452  0.99723
8.810000000e+02  0.84848  0.85550  1.00000  0.99461  0.99716
8.800000000e+02  0.85303  0.85696  1.00000  0.99832  0.99708
8.790000000e+02  0.85478  0.85840  1.00000  0.99877  0.99701
8.780000000e+02  0.85636  0.85976  1.00000  0.99911  0.99692
8.770000000e+02  0.85735  0.86107  1.00000  0.99884  0.99684
8.760000000e+02  0.85560  0.86233  1.00000  0.99544  0.99675
8.750000000e+02  0.85922  0.86355  1.00000  0.99834  0.99665
8.740000000e+02  0.86005  0.86473  1.00000  0.99803  0.99655
8.730000000e+02  0.86205  0.86587  1.00000  0.99913  0.99645
8.720000000e+02  0.86278  0.86697  1.00000  0.99882  0.99634
8.710000000e+02  0.86338  0.86804  1.00000  0.99839  0.99623
8.700000000e+02  0.86140  0.86906  1.00000  0.99505  0.99612
8.690000000e+02  0.85406  0.87002  1.00000  0.98559  0.99600
8.680000000e+02  0.86474  0.87092  1.00000  0.99700  0.99588
8.670000000e+02  0.86490  0.87173  1.00000  0.99640  0.99575
8.660000000e+02  0.83880  0.87240  1.00000  0.96572  0.99562
8.650000000e+02  0.86490  0.87277  1.00000  0.99549  0.99547
